Time,Channel A
(ms),(V)

17.85491444,-0.04675197
17.85541844,0.00000000
17.85592244,0.00000000
17.85642644,0.00000000
17.85693044,0.00000000
17.85743444,-0.04675197
17.85793844,-0.04675197
17.85844244,0.00000000
17.85894644,0.00000000
17.85945044,0.04675197
17.85995444,0.04675197
17.86045844,0.00000000
17.86096244,0.00000000
17.86146644,-0.04675197
17.86197044,0.04675197
17.86247444,0.00000000
17.86297844,0.00000000
17.86348244,0.00000000
17.86398644,0.09350394
17.86449044,0.04675197
17.86499444,0.04675197
17.86549844,-0.04675197
17.86600244,0.00000000
17.86650644,0.04675197
17.86701044,-0.04675197
17.86751444,-0.04675197
17.86801844,0.00000000
17.86852244,-0.04675197
17.86902644,-0.04675197
17.86953044,0.00000000
17.87003444,0.00000000
17.87053844,0.00000000
17.87104244,0.00000000
17.87154644,0.00000000
17.87205044,0.04675197
17.87255444,0.00000000
17.87305844,0.00000000
17.87356244,0.00000000
17.87406644,0.04675197
17.87457044,0.04675197
17.87507444,0.04675197
17.87557844,0.00000000
17.87608244,0.00000000
17.87658644,0.00000000
17.87709044,0.04675197
17.87759444,0.00000000
17.87809844,0.00000000
17.87860244,0.00000000
17.87910644,0.00000000
17.87961044,-0.04675197
17.88011444,0.00000000
17.88061844,0.00000000
17.88112244,0.00000000
17.88162644,0.00000000
17.88213044,0.04675197
17.88263444,0.00000000
17.88313844,0.04675197
17.88364244,0.00000000
17.88414644,0.00000000
17.88465044,0.00000000
17.88515444,0.04675197
17.88565844,0.00000000
17.88616244,0.04675197
17.88666644,0.00000000
17.88717044,0.00000000
17.88767444,0.00000000
17.88817844,0.00000000
17.88868244,0.00000000
17.88918644,0.00000000
17.88969044,-0.04675197
17.89019444,0.04675197
17.89069844,0.00000000
17.89120244,0.04675197
17.89170644,0.04675197
17.89221044,0.04675197
17.89271444,0.00000000
17.89321844,0.00000000
17.89372244,0.00000000
17.89422644,0.00000000
17.89473044,0.00000000
17.89523444,0.00000000
17.89573844,0.00000000
17.89624244,0.04675197
17.89674644,0.04675197
17.89725044,0.00000000
17.89775444,0.04675197
17.89825844,0.00000000
17.89876244,0.00000000
17.89926644,0.04675197
17.89977044,-0.04675197
17.90027444,0.00000000
17.90077844,0.00000000
17.90128244,0.00000000
17.90178644,-0.04675197
17.90229044,0.00000000
17.90279444,0.00000000
17.90329844,-0.04675197
17.90380244,-0.04675197
17.90430644,0.00000000
17.90481044,0.00000000
17.90531444,-0.04675197
17.90581844,0.00000000
17.90632244,0.00000000
17.90682644,0.00000000
17.90733044,0.00000000
17.90783444,-0.04675197
17.90833844,-0.04675197
17.90884244,0.00000000
17.90934644,0.04675197
17.90985044,0.00000000
17.91035444,0.00000000
17.91085844,0.00000000
17.91136244,0.04675197
17.91186644,0.00000000
17.91237044,0.04675197
17.91287444,0.00000000
17.91337844,0.04675197
17.91388244,0.00000000
17.91438644,0.00000000
17.91489044,0.04675197
17.91539444,0.04675197
17.91589844,0.00000000
17.91640244,0.00000000
17.91690644,0.00000000
17.91741044,-0.09350394
17.91791444,0.00000000
17.91841844,0.04675197
17.91892244,0.00000000
17.91942644,0.00000000
17.91993044,0.00000000
17.92043444,0.00000000
17.92093844,-0.04675197
17.92144244,0.00000000
17.92194644,-0.04675197
17.92245044,0.00000000
17.92295444,0.00000000
17.92345844,0.00000000
17.92396244,-0.04675197
17.92446644,-0.04675197
17.92497044,0.00000000
17.92547444,0.04675197
17.92597844,0.00000000
17.92648244,0.00000000
17.92698644,0.00000000
17.92749044,0.04675197
17.92799444,0.00000000
17.92849844,0.00000000
17.92900244,0.00000000
17.92950644,0.00000000
17.93001044,0.00000000
17.93051444,0.00000000
17.93101844,-0.04675197
17.93152244,0.04675197
17.93202644,0.00000000
17.93253044,0.00000000
17.93303444,-0.04675197
17.93353844,0.04675197
17.93404244,0.00000000
17.93454644,0.00000000
17.93505044,0.00000000
17.93555444,0.04675197
17.93605844,0.00000000
17.93656244,0.04675197
17.93706644,0.00000000
17.93757044,0.04675197
17.93807444,0.00000000
17.93857844,0.04675197
17.93908244,0.00000000
17.93958644,0.04675197
17.94009044,0.00000000
17.94059444,0.04675197
17.94109844,0.04675197
17.94160244,0.09350394
17.94210644,0.00000000
17.94261044,0.04675197
17.94311444,0.04675197
17.94361844,0.04675197
17.94412244,0.00000000
17.94462644,0.00000000
17.94513044,0.04675197
17.94563444,0.04675197
17.94613844,0.00000000
17.94664244,0.04675197
17.94714644,0.04675197
17.94765044,0.00000000
17.94815444,0.04675197
17.94865844,0.00000000
17.94916244,-0.09350394
17.94966644,0.00000000
17.95017044,0.00000000
17.95067444,0.00000000
17.95117844,0.00000000
17.95168244,0.04675197
17.95218644,0.00000000
17.95269044,0.04675197
17.95319444,0.04675197
17.95369844,0.00000000
17.95420244,0.00000000
17.95470644,0.04675197
17.95521044,0.00000000
17.95571444,0.04675197
17.95621844,0.04675197
17.95672244,0.04675197
17.95722644,-0.04675197
17.95773044,0.04675197
17.95823444,-0.04675197
17.95873844,0.04675197
17.95924244,0.00000000
17.95974644,0.04675197
17.96025044,0.00000000
17.96075444,0.00000000
17.96125844,0.00000000
17.96176244,0.04675197
17.96226644,0.00000000
17.96277044,0.04675197
17.96327444,0.00000000
17.96377844,0.04675197
17.96428244,0.00000000
17.96478644,0.00000000
17.96529044,0.04675197
17.96579444,0.00000000
17.96629844,0.00000000
17.96680244,0.00000000
17.96730644,0.00000000
17.96781044,0.00000000
17.96831444,0.00000000
17.96881844,0.00000000
17.96932244,0.00000000
17.96982644,0.00000000
17.97033044,0.04675197
17.97083444,0.04675197
17.97133844,0.00000000
17.97184244,0.00000000
17.97234644,0.00000000
17.97285044,0.00000000
17.97335444,0.00000000
17.97385844,0.04675197
17.97436244,0.00000000
17.97486644,0.04675197
17.97537044,-0.04675197
17.97587444,0.04675197
17.97637844,-0.04675197
17.97688244,0.00000000
17.97738644,0.00000000
17.97789044,0.04675197
17.97839444,0.04675197
17.97889844,0.04675197
17.97940244,0.00000000
17.97990644,0.00000000
17.98041044,0.04675197
17.98091444,0.00000000
17.98141844,-0.04675197
17.98192244,0.04675197
17.98242644,0.00000000
17.98293044,0.00000000
17.98343444,0.00000000
17.98393844,0.00000000
17.98444244,-0.04675197
17.98494644,0.00000000
17.98545044,-0.04675197
17.98595444,-0.04675197
17.98645844,-0.04675197
17.98696244,0.00000000
17.98746644,0.00000000
17.98797044,0.04675197
17.98847444,0.00000000
17.98897844,0.04675197
17.98948244,-0.04675197
17.98998644,0.00000000
17.99049044,0.00000000
17.99099444,0.04675197
17.99149844,0.04675197
17.99200244,0.04675197
17.99250644,0.00000000
17.99301044,0.04675197
17.99351444,0.04675197
17.99401844,0.04675197
17.99452244,0.00000000
17.99502644,0.04675197
17.99553044,0.04675197
17.99603444,0.00000000
17.99653844,0.00000000
17.99704244,0.00000000
17.99754644,0.00000000
17.99805044,0.04675197
17.99855444,0.00000000
17.99905844,0.00000000
17.99956244,0.00000000
18.00006644,0.00000000
18.00057044,0.00000000
18.00107444,0.00000000
18.00157844,0.00000000
18.00208244,0.00000000
18.00258644,0.00000000
18.00309044,0.00000000
18.00359444,-0.04675197
18.00409844,0.09350394
18.00460244,-0.04675197
18.00510644,0.04675197
18.00561044,0.04675197
18.00611444,0.00000000
18.00661844,0.04675197
18.00712244,0.04675197
18.00762644,-0.04675197
18.00813044,0.04675197
18.00863444,0.00000000
18.00913844,0.09350394
18.00964244,0.00000000
18.01014644,0.04675197
18.01065044,0.04675197
18.01115444,0.00000000
18.01165844,0.00000000
18.01216244,0.04675197
18.01266644,0.00000000
18.01317044,0.00000000
18.01367444,0.04675197
18.01417844,0.04675197
18.01468244,0.00000000
18.01518644,0.04675197
18.01569044,0.00000000
18.01619444,0.04675197
18.01669844,0.00000000
18.01720244,0.04675197
18.01770644,0.00000000
18.01821044,0.00000000
18.01871444,0.00000000
18.01921844,0.00000000
18.01972244,0.00000000
18.02022644,0.04675197
